"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"MACAE v4","main","263","9","254","88794","2023","86771","2.28","0","3","2","0","4","19"
"KM Generic","dev","102","7","95","11828","1114","10714","9.42","0","4","0","1","2","15"
"Content Generation","dev","74","6","68","3469","1949","1520","56.18","0","1","0","4","1","16"
"Content Processing","dev","42","1","41","57757","419","57338","0.73","0","1","0","0","0","14"
"BYOC","dev","46","7","39","1177","507","670","43.08","0","5","0","0","2","15"
"Code Modernization","dev","51","5","46","48171","678","47493","1.41","0","1","1","1","2","9"
"Deploy your AI application","main","15","1","14","74116","73577","539","99.27","0","0","0","0","1","6"
"CWYD","dev","12","0","12","28958",,"28958","0","0","0","0","0","0","8"
"DKM","dev","35","1","34","5351","187","5164","3.49","0","0","0","0","1","13"
"MAAG","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
