"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","240889","43","0.02","80"
"py","52300","45158","86.34","741"
"lock","9831","6618","67.32","30"
"yml","3399","20","0.59","135"
"md","2363","24","1.02","145"
"ps1","2248","21","0.93","32"
"sh","2020","0","0","37"
"tsx","1292","918","71.05","93"
"bicep","681","201","29.52","52"
"yaml","344","156","45.35","18"
"csv","273","249","91.21","51"
"gitignore","255","0","0","3"
"other","63","0","0","3"
"sample","42","0","0","22"
"css","42","0","0","6"
"toml","42","33","78.57","15"
"txt","33","0","0","13"
"coveragerc","25","25","100","1"
"env","21","0","0","3"
"json}","10","0","0","1"
"flake8","9","0","0","1"
"ini","7","5","71.43","3"
"devcontainer/dockerfile","4","0","0","1"
"github/codeowners","4","0","0","4"
