"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","1036928","1036928","100","20"
"py","77259","65304","84.53","1027"
"md","44174","14606","33.06","1099"
"json","27367","4556","16.65","179"
"ps1","26752","26744","99.97","90"
"ipynb","20805","13580","65.27","75"
"kql","6186","6076","98.22","148"
"yml","6003","1646","27.42","308"
"gitignore","2582","60","2.32","18"
"bicep","1329","560","42.14","76"
"sh","756","660","87.3","32"
"txt","420","120","28.57","90"
"dockerignore","376","376","100","4"
"platform","349","264","75.64","82"
"ps1}","308","4","1.3","8"
"other","294","84","28.57","14"
"flake8","230","230","100","10"
"yaml","202","128","63.37","50"
"github/codeowners","120","30","25","20"
"devcontainer/dockerfile","20","0","0","5"
"py}","4","0","0","4"
"png","4","4","100","365"
