"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","96154","7","0.01","17"
"py","44542","41534","93.25","267"
"yml","3396","20","0.59","132"
"md","1340","0","0","70"
"lock","1236","0","0","3"
"ps1","547","0","0","11"
"sh","466","0","0","10"
"tsx","377","282","74.8","51"
"yaml","182","0","0","9"
"bicep","165","0","0","19"
"coveragerc","25","25","100","1"
"sample","12","0","0","1"
"json}","10","0","0","1"
"flake8","9","0","0","1"
"ini","7","5","71.43","3"
"txt","6","0","0","4"
"devcontainer/dockerfile","4","0","0","1"
"github/codeowners","1","0","0","1"
