"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","629139","85","0.01","211"
"py","197554","177108","89.65","1824"
"yml","20079","203","1.01","752"
"lock","19377","6648","34.31","67"
"md","10771","24","0.22","528"
"ps1","4825","21","0.44","86"
"tsx","4436","3508","79.08","488"
"sh","4090","0","0","83"
"bicep","1884","201","10.67","189"
"ts","1087","1081","99.45","30"
"yaml","979","156","15.93","63"
"csv","273","249","91.21","51"
"gitignore","255","0","0","4"
"txt","118","5","4.24","48"
"sample","115","0","0","30"
"coveragerc","101","100","99.01","5"
"other","85","0","0","9"
"toml","83","37","44.58","37"
"json}","70","0","0","7"
"flake8","63","0","0","7"
"css","42","0","0","24"
"ini","37","20","54.05","17"
"yml}","27","0","0","1"
"env","21","0","0","3"
"devcontainer/dockerfile","12","0","0","3"
"github/codeowners","10","0","0","10"
"code-workspace","1","0","0","1"
