"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","628849","85","0.01","200"
"py","197065","176687","89.66","1819"
"yml","19930","93","0.47","743"
"lock","18828","6648","35.31","51"
"md","10767","24","0.22","526"
"ps1","4825","21","0.44","86"
"tsx","4435","3508","79.1","487"
"sh","4090","0","0","83"
"bicep","1856","201","10.83","186"
"ts","1086","1081","99.54","29"
"yaml","977","156","15.97","61"
"csv","273","249","91.21","51"
"gitignore","255","0","0","4"
"sample","114","0","0","29"
"txt","104","5","4.81","39"
"coveragerc","101","100","99.01","5"
"other","85","0","0","9"
"json}","70","0","0","7"
"flake8","63","0","0","7"
"toml","57","37","64.91","21"
"css","42","0","0","24"
"ini","35","20","57.14","15"
"yml}","27","0","0","1"
"env","21","0","0","3"
"devcontainer/dockerfile","12","0","0","3"
"github/codeowners","10","0","0","10"
"code-workspace","1","0","0","1"
