"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","1446625","1893","0.13","679"
"py","418480","366980","87.69","6176"
"lock","54848","16692","30.43","205"
"tsx","52234","36104","69.12","2048"
"yml","41883","635","1.52","1659"
"bicep","30891","1069","3.46","696"
"md","25856","2010","7.77","1191"
"ps1","10269","428","4.17","176"
"sh","9912","330","3.33","213"
"css","4893","2996","61.23","133"
"ts","4187","4063","97.04","128"
"yaml","2192","358","16.33","154"
"csv","1210","498","41.16","454"
"dockerignore","644","0","0","5"
"gitignore","531","5","0.94","22"
"toml","529","116","21.93","155"
"txt","446","147","32.96","147"
"other","433","98","22.63","64"
"sample","267","12","4.49","88"
"coveragerc","153","150","98.04","9"
"json}","120","0","0","12"
"flake8","108","0","0","12"
"ini","93","60","64.52","38"
"yml}","81","0","0","3"
"nocache","71","0","0","5"
"example","52","32","61.54","8"
"svg","48","28","58.33","6"
"env","42","0","0","6"
"devcontainer/dockerfile","20","0","0","5"
"html","20","0","0","12"
"github/codeowners","18","0","0","18"
"py}","11","0","0","9"
"md}","10","0","0","2"
"bicep}","8","0","0","6"
"tsx}","6","0","0","12"
"code-workspace","3","0","0","3"
