"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","385072","57","0.01","112"
"py","106401","94748","89.05","1121"
"lock","12302","6618","53.8","35"
"yml","8814","40","0.45","329"
"md","4941","24","0.49","263"
"ps1","3107","21","0.68","50"
"sh","2710","0","0","52"
"tsx","2004","1482","73.95","185"
"bicep","1009","201","19.92","86"
"yaml","708","156","22.03","36"
"csv","273","249","91.21","51"
"gitignore","255","0","0","3"
"sample","66","0","0","24"
"other","63","0","0","3"
"coveragerc","50","50","100","2"
"txt","44","0","0","20"
"css","42","0","0","6"
"toml","42","33","78.57","15"
"json}","30","0","0","3"
"flake8","27","0","0","3"
"env","21","0","0","3"
"ini","16","10","62.5","7"
"devcontainer/dockerfile","8","0","0","2"
"github/codeowners","6","0","0","6"
