"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","998812","46843","4.69","460"
"py","120955","93603","77.39","3355"
"tsx","48860","35361","72.37","1591"
"bicep","33710","1745","5.18","532"
"lock","30664","5995","19.55","65"
"yml","24633","239","0.97","934"
"md","20832","4699","22.56","792"
"css","13409","6324","47.16","234"
"sh","6688","165","2.47","139"
"js","5825","1233","21.17","90"
"ps1","4767","207","4.34","80"
"ts","2819","2534","89.89","95"
"gitignore","1035","463","44.73","25"
"html","927","281","30.31","52"
"yaml","730","127","17.4","78"
"dockerfile","582","582","100","18"
"csv","514","166","32.3","210"
"toml","345","42","12.17","49"
"dockerignore","325","3","0.92","3"
"other","321","88","27.41","46"
"txt","290","129","44.48","87"
"bicepparam","270","30","11.11","80"
"svg","188","120","63.83","34"
"sample","183","51","27.87","71"
"tsx}","95","92","96.84","40"
"old","38","0","0","4"
"dockerfile => src/frontend_react/dockerfile","38","0","0","2"
"example","36","16","44.44","8"
"nocache","35","0","0","2"
"ini","35","19","54.29","9"
"flake8","32","2","6.25","8"
"code-workspace","26","0","0","2"
"json}","20","0","0","2"
"env","14","0","0","2"
"python-version","8","2","25","14"
"github/workflows/codeowners","5","5","100","1"
"md}","5","0","0","1"
"github/codeowners","4","0","0","4"
"bicep}","4","0","0","5"
"py}","4","0","0","4"
"github/{codeowner => codeowners}","2","0","0","2"
