"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","1524239","1893","0.12","696"
"py","420827","368050","87.46","6302"
"lock","54848","16692","30.43","205"
"tsx","53463","36987","69.18","2111"
"yml","46821","635","1.36","1823"
"bicep","33199","1079","3.25","733"
"md","26137","2010","7.69","1226"
"ps1","10270","428","4.17","177"
"sh","9916","330","3.33","217"
"css","4917","3018","61.38","137"
"ts","4187","4063","97.04","128"
"yaml","2200","358","16.27","158"
"csv","1210","498","41.16","454"
"dockerignore","644","0","0","5"
"gitignore","531","5","0.94","22"
"toml","529","116","21.93","155"
"txt","454","153","33.7","151"
"other","433","98","22.63","64"
"sample","271","16","5.9","92"
"coveragerc","153","150","98.04","9"
"json}","120","0","0","12"
"flake8","108","0","0","12"
"ini","93","60","64.52","38"
"yml}","81","0","0","3"
"svg","76","56","73.68","8"
"nocache","71","0","0","5"
"example","52","32","61.54","8"
"env","42","0","0","6"
"devcontainer/dockerfile","20","0","0","5"
"html","20","0","0","12"
"github/codeowners","18","0","0","18"
"py}","11","0","0","9"
"md}","10","0","0","2"
"bicep}","8","0","0","6"
"tsx}","6","0","0","12"
"code-workspace","3","0","0","3"
