"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","627722","85","0.01","179"
"py","193097","173910","90.06","1710"
"yml","19677","73","0.37","728"
"lock","18756","6618","35.28","47"
"md","10751","24","0.22","512"
"ps1","4825","21","0.44","86"
"sh","4090","0","0","83"
"tsx","3442","2610","75.83","361"
"bicep","1764","201","11.39","157"
"yaml","974","156","16.02","58"
"csv","273","249","91.21","51"
"gitignore","255","0","0","3"
"sample","114","0","0","28"
"coveragerc","100","100","100","4"
"json}","70","0","0","7"
"txt","65","0","0","33"
"flake8","63","0","0","7"
"other","63","0","0","3"
"toml","49","33","67.35","17"
"css","42","0","0","6"
"ini","34","20","58.82","14"
"yml}","27","0","0","1"
"env","21","0","0","3"
"devcontainer/dockerfile","12","0","0","3"
"github/codeowners","10","0","0","10"
