"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","1431875","46890","3.27","544"
"py","144214","105985","73.49","4204"
"tsx","50654","36664","72.38","1758"
"lock","41479","10407","25.09","96"
"bicep","34996","2098","5.99","611"
"yml","34220","265","0.77","1291"
"md","24548","4835","19.7","1013"
"css","13562","6432","47.43","243"
"sh","9340","165","1.77","197"
"ps1","7665","221","2.88","127"
"js","5825","1233","21.17","90"
"ts","2819","2534","89.89","95"
"gitignore","1206","464","38.47","28"
"yaml","1025","231","22.54","97"
"html","927","281","30.31","52"
"csv","696","332","47.7","244"
"dockerfile","582","582","100","18"
"toml","409","64","15.65","66"
"other","364","88","24.18","50"
"dockerignore","325","3","0.92","3"
"txt","319","129","40.44","101"
"bicepparam","270","30","11.11","80"
"sample","227","51","22.47","87"
"svg","188","120","63.83","34"
"tsx}","95","92","96.84","40"
"flake8","50","2","4","10"
"json}","40","0","0","4"
"ini","39","19","48.72","11"
"old","38","0","0","4"
"dockerfile => src/frontend_react/dockerfile","38","0","0","2"
"nocache","36","0","0","3"
"example","36","16","44.44","8"
"env","28","0","0","4"
"code-workspace","26","0","0","2"
"github/codeowners","8","0","0","8"
"python-version","8","2","25","14"
"py}","7","0","0","5"
"github/workflows/codeowners","5","5","100","1"
"md}","5","0","0","1"
"bicep}","4","0","0","5"
"github/{codeowner => codeowners}","2","0","0","2"
