"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"BYOCC","dev","22","8","14","164399","11002","153397","6.69","0","0","5","2","1","4"
"MACAE v4","main","188","21","167","64953","10646","54307","16.39","0","4","7","4","6","16"
"Fabric SQL","dev","79","11","68","19563","10004","9559","51.14","0","2","2","2","5","10"
"Container Migration","dev","100","1","99","70790","1588","69202","2.24","0","0","0","0","1","8"
"Code Modernization","dev","46","2","44","19501","661","18840","3.39","0","0","0","1","1","13"
"Content Processing","dev","48","0","48","65756",,"65756","0","0","0","0","0","0","12"
"CWYD","dev","11","1","10","19135","69","19066","0.36","0","0","0","0","1","9"
"BYOC","dev","26","0","26","14805",,"14805","0","0","0","0","0","0","12"
"Doc Gen","dev","21","0","21","12786",,"12786","0","0","0","0","0","0","9"
"DKM","dev","23","0","23","16604",,"16604","0","0","0","0","0","0","9"
"MAAG","dev","25","0","25","417",,"417","0","0","0","0","0","0","7"
"Deploy your AI application","main","2","0","2","167",,"167","0","0","0","0","0","0","2"
"RTI","main","0","0","0",,,"0","0","0","0","0","0","0","0"
