"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","133041","71909","54.05","94"
"ps1","114868","12296","10.7","932"
"md","39423","1263","3.2","619"
"sh","13849","159","1.15","272"
"bicep","6352","780","12.28","367"
"bicepparam","2090","90","4.31","53"
"yaml","1674","66","3.94","74"
"yml","1351","0","0","71"
"py","1107","396","35.77","109"
"gitignore","974","1","0.1","34"
"sample","496","0","0","16"
"other","226","0","0","36"
"txt","76","12","15.79","77"
"env","70","0","0","20"
"devcontainer/dockerfile","36","0","0","9"
"gitmodules","33","0","0","13"
"github/codeowners","19","0","0","15"
"md}","15","0","0","9"
