"Extension","TotalLines","AILines","AIPercentage","FileCount"
"ps1","58598","0","0","396"
"json","45171","0","0","54"
"md","21292","0","0","244"
"sh","8123","0","0","157"
"bicep","2495","0","0","190"
"yaml","912","0","0","26"
"yml","726","0","0","36"
"bicepparam","678","0","0","8"
"gitignore","582","0","0","18"
"py","441","0","0","63"
"sample","296","0","0","8"
"other","132","0","0","18"
"env","42","0","0","12"
"txt","39","0","0","45"
"devcontainer/dockerfile","24","0","0","6"
"gitmodules","18","0","0","6"
"github/codeowners","9","0","0","9"
