"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","565807","471","0.08","437"
"py","112832","18723","16.59","3247"
"tsx","48385","1672","3.46","1486"
"bicep","33531","923","2.75","485"
"lock","29422","2322","7.89","56"
"md","18946","1296","6.84","624"
"css","13409","1528","11.4","234"
"yml","13330","71","0.53","548"
"js","5825","1169","20.07","90"
"sh","4528","0","0","94"
"ts","2819","27","0.96","95"
"ps1","2575","7","0.27","41"
"gitignore","1035","459","44.35","25"
"html","927","273","29.45","52"
"yaml","680","52","7.65","73"
"dockerfile","582","0","0","18"
"csv","514","83","16.15","210"
"toml","345","11","3.19","49"
"dockerignore","325","3","0.92","3"
"other","321","71","22.12","46"
"txt","285","39","13.68","84"
"bicepparam","270","24","8.89","80"
"svg","188","92","48.94","34"
"sample","171","9","5.26","70"
"tsx}","95","0","0","40"
"dockerfile => src/frontend_react/dockerfile","38","0","0","2"
"old","38","0","0","4"
"example","36","15","41.67","8"
"nocache","35","0","0","2"
"ini","33","14","42.42","8"
"code-workspace","26","0","0","2"
"flake8","23","0","0","7"
"env","14","0","0","2"
"json}","10","0","0","1"
"python-version","8","0","0","14"
"md}","5","0","0","1"
"github/workflows/codeowners","5","5","100","1"
"bicep}","4","0","0","5"
"py}","4","0","0","4"
"github/codeowners","3","0","0","3"
"github/{codeowner => codeowners}","2","0","0","2"
