"Extension","TotalLines","AILines","AIPercentage","FileCount"
"py","11325","85","0.75","124"
"yml","1009","0","0","20"
"ps1","394","0","0","2"
"tsx","231","0","0","12"
"md","165","0","0","12"
"sh","121","0","0","2"
"json","102","0","0","3"
"yaml","54","0","0","2"
"txt","48","0","0","6"
"ini","34","0","0","3"
"csv","33","0","0","3"
"coveragerc","25","0","0","2"
"bicep","14","0","0","2"
"flake8","14","2","14.29","4"
"ts","8","0","0","1"
"other","4","0","0","1"
"github/codeowners","2","0","0","2"
"gitignore","1","0","0","1"
