"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"MACAE v4","main","615","16","599","83098","5104","77994","6.14","3","0","2","7","4","27"
"RTI","main","37","6","31","284276","278865","5411","98.1","0","1","1","1","3","5"
"Fabric SQL","dev","63","4","59","32782","3416","29366","10.42","0","1","0","1","2","8"
"BYOCC","dev","47","0","47","7562",,"7562","0","0","0","0","0","0","8"
"Code Modernization","dev","45","3","42","15975","3","15972","0.02","3","0","0","0","0","11"
"BYOC","dev","53","1","52","3494","146","3348","4.18","0","0","0","0","1","13"
"Doc Gen","dev","57","0","57","15449",,"15449","0","0","0","0","0","0","16"
"Content Processing","dev","75","7","68","27576","210","27366","0.76","5","1","1","0","0","15"
"CWYD","dev","20","0","20","19750",,"19750","0","0","0","0","0","0","10"
"Container Migration","dev","39","4","35","64391","307","64084","0.48","3","0","0","1","0","12"
"Deploy your AI application","main","86","0","86","165534",,"165534","0","0","0","0","0","0","5"
"MAAG","dev","28","3","25","746","3","743","0.4","3","0","0","0","0","7"
"DKM","dev","11","0","11","123",,"123","0","0","0","0","0","0","5"
