"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","1036928","1036928","100","20"
"py","74079","62728","84.68","968"
"md","41123","14195","34.52","1008"
"ps1","25500","25492","99.97","85"
"json","25105","4556","18.15","167"
"ipynb","18726","12222","65.27","68"
"kql","6175","6076","98.4","146"
"yml","5690","1631","28.66","294"
"gitignore","2497","60","2.4","17"
"bicep","1329","560","42.14","76"
"sh","752","660","87.77","30"
"txt","390","120","30.77","83"
"dockerignore","376","376","100","4"
"platform","331","252","76.13","76"
"ps1}","308","4","1.3","8"
"other","273","84","30.77","13"
"flake8","207","207","100","9"
"yaml","200","128","64","48"
"github/codeowners","108","27","25","18"
"devcontainer/dockerfile","20","0","0","5"
"py}","4","0","0","4"
"png","4","4","100","338"
