"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","259232","0","0","5"
"py","17364","789","4.54","198"
"md","8815","0","0","217"
"ps1","6062","0","0","20"
"json","5664","0","0","31"
"ipynb","4158","0","0","14"
"kql","1541","0","0","36"
"yml","1109","0","0","55"
"gitignore","603","0","0","4"
"sh","187","0","0","7"
"bicep","141","0","0","4"
"dockerignore","94","0","0","1"
"txt","90","0","0","19"
"ps1}","77","0","0","2"
"platform","72","0","0","15"
"other","63","0","0","3"
"yaml","48","0","0","10"
"flake8","46","0","0","2"
"github/codeowners","24","0","0","4"
"png","1","0","0","80"
"py}","1","0","0","1"
