"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","48027","9","0.02","8"
"py","11740","9818","83.63","382"
"lock","2611","0","0","5"
"bicep","608","219","36.02","11"
"tsx","429","315","73.43","23"
"md","334","120","35.93","16"
"yml","326","26","7.98","41"
"ps1","200","0","0","3"
"sh","192","0","0","8"
"css","125","108","86.4","5"
"yaml","87","0","0","3"
"toml","36","0","0","7"
"py}","3","0","0","1"
"gitignore","1","1","100","1"
"nocache","1","0","0","1"
"other","1","0","0","2"
"txt","1","0","0","2"
