"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","132726","71909","54.18","88"
"ps1","105325","12296","11.67","884"
"md","35937","1263","3.51","584"
"sh","12525","159","1.27","249"
"bicep","5995","780","13.01","341"
"bicepparam","1987","90","4.53","52"
"yaml","1527","66","4.32","71"
"yml","1279","0","0","67"
"py","1046","396","37.86","99"
"gitignore","877","1","0.11","31"
"sample","447","0","0","15"
"other","204","0","0","33"
"txt","70","12","17.14","70"
"env","63","0","0","18"
"devcontainer/dockerfile","36","0","0","9"
"gitmodules","30","0","0","12"
"github/codeowners","18","0","0","14"
"md}","15","0","0","9"
