"Extension","TotalLines","AILines","AIPercentage","FileCount"
"csv","1296160","1296160","100","25"
"py","91052","77766","85.41","1160"
"md","49928","17641","35.33","1222"
"ps1","31562","31552","99.97","105"
"json","30769","5695","18.51","198"
"ipynb","22884","14938","65.28","82"
"kql","7716","7595","98.43","182"
"yml","6758","2035","30.11","340"
"gitignore","3100","75","2.42","21"
"bicep","1470","700","47.62","79"
"sh","939","825","87.86","37"
"txt","480","150","31.25","102"
"dockerignore","470","470","100","5"
"platform","403","312","77.42","91"
"ps1}","385","5","1.3","10"
"other","336","105","31.25","16"
"flake8","253","253","100","11"
"yaml","245","160","65.31","57"
"github/codeowners","132","33","25","22"
"devcontainer/dockerfile","20","0","0","5"
"py}","5","0","0","5"
"png","5","5","100","417"
