"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"BYOCC","dev","22","8","14","164399","11002","153397","6.69","0","0","5","2","1","4"
"MACAE v4","main","188","21","167","64953","10646","54307","16.39","0","4","7","4","6","16"
"Fabric SQL","dev","82","11","71","20272","10004","10268","49.35","0","2","2","2","5","11"
"Container Migration","dev","100","1","99","70790","1588","69202","2.24","0","0","0","0","1","8"
"Code Modernization","dev","43","2","41","19494","661","18833","3.39","0","0","0","1","1","11"
"Content Processing","dev","49","0","49","65768",,"65768","0","0","0","0","0","0","13"
"BYOC","dev","24","0","24","14769",,"14769","0","0","0","0","0","0","12"
"CWYD","dev","10","1","9","19125","69","19056","0.36","0","0","0","0","1","8"
"Doc Gen","dev","21","0","21","12786",,"12786","0","0","0","0","0","0","9"
"DKM","dev","22","0","22","16600",,"16600","0","0","0","0","0","0","8"
"MAAG","dev","26","0","26","541",,"541","0","0","0","0","0","0","7"
"Deploy your AI application","main","2","0","2","167",,"167","0","0","0","0","0","0","2"
"RTI","main","0","0","0",,,"0","0","0","0","0","0","0","0"
