"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","141358","5402","3.82","673"
"other","100473","0","0","24"
"py","45000","1544","3.43","1762"
"pdf","39253","0","0","53"
"csv","27036","0","0","1"
"lock","23135","688","2.97","173"
"bicep","18827","4","0.02","329"
"tsx","8626","4950","57.38","109"
"md","5426","12","0.22","316"
"yml","2902","51","1.76","211"
"ts","1919","322","16.78","72"
"css","1587","249","15.69","56"
"sh","1042","0","0","37"
"gitignore","815","1","0.12","27"
"ipynb","533","0","0","1"
"txt","479","0","0","115"
"py}","420","0","0","120"
"toml","334","3","0.9","161"
"yaml","325","1","0.31","27"
"js","296","141","47.64","8"
"dockerignore","258","0","0","23"
"bicep}","203","0","0","1"
"sample","184","3","1.63","46"
"dockerfile","170","2","1.18","39"
"bicepparam","140","3","2.14","32"
"svg","118","0","0","21"
"ps1","107","0","0","8"
"jinja2","78","0","0","3"
"config","60","0","0","1"
"jsonl","57","0","0","1"
"md}","52","0","0","3"
"html","31","2","6.45","7"
"webappignore","27","0","0","2"
"test","24","0","0","5"
"dev","24","0","0","5"
"funcignore","16","0","0","5"
"ini","15","0","0","6"
"yml}","14","0","0","2"
"testtool","13","0","0","5"
"devcontainer/dockerfile","10","0","0","4"
"coveragerc","8","0","0","3"
"flake8","7","0","0","4"
"tsx}","5","5","100","2"
"github/codeowners","4","0","0","4"
"dat","3","0","0","3"
"gitattributes","3","0","0","1"
"map","2","1","50","4"
"txt}","1","0","0","1"
