"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"MACAE v4","main","2577","303","2274","801525","181437","620088","22.64","3","38","74","105","83","54"
"CWYD","dev","1143","52","1091","592873","250087","342786","42.18","0","11","8","7","26","88"
"BYOC","dev","797","36","761","265554","90946","174608","34.25","11","7","2","6","10","56"
"Doc Gen","dev","975","28","947","242027","95814","146213","39.59","0","2","0","9","17","55"
"DKM","dev","535","12","523","217958","102204","115754","46.89","0","3","2","3","4","42"
"BYOCC","dev","144","16","128","240506","64311","176195","26.74","0","2","9","2","3","17"
"Code Modernization","dev","678","24","654","150425","36998","113427","24.6","3","1","6","6","8","48"
"Content Processing","dev","574","17","557","330232","79263","250969","24","5","5","2","2","3","44"
"Fabric SQL","dev","248","21","227","137247","74815","62432","54.51","0","7","3","3","8","21"
"Deploy your AI application","main","339","1","338","261893","73577","188316","28.09","0","0","0","0","1","21"
"MAAG","dev","148","7","141","167282","3565","163717","2.13","3","0","2","1","1","18"
"Container Migration","dev","232","7","225","227509","84936","142573","37.33","3","1","0","1","2","22"
"RTI","main","149","13","136","292936","284515","8421","97.13","0","1","4","2","6","10"
