"Extension","TotalLines","AILines","AIPercentage","FileCount"
"json","680883","85","0.01","244"
"py","237173","213563","90.05","2182"
"yml","21818","243","1.11","857"
"lock","21323","6778","31.79","82"
"md","10904","24","0.22","563"
"tsx","5458","4406","80.73","626"
"ps1","5060","21","0.42","90"
"sh","4332","0","0","89"
"ts","2173","2162","99.49","59"
"bicep","2112","201","9.52","233"
"yaml","1048","156","14.89","68"
"csv","273","249","91.21","51"
"gitignore","255","0","0","5"
"txt","162","10","6.17","59"
"toml","134","54","40.3","50"
"coveragerc","127","125","98.43","7"
"sample","115","0","0","31"
"other","107","0","0","15"
"json}","70","0","0","7"
"flake8","63","0","0","7"
"yml}","54","0","0","2"
"ini","43","25","58.14","20"
"css","42","0","0","42"
"env","21","0","0","3"
"devcontainer/dockerfile","16","0","0","4"
"github/codeowners","10","0","0","10"
"code-workspace","2","0","0","2"
