"Extension","TotalLines","AILines","AIPercentage","FileCount"
"py","22632","170","0.75","244"
"yml","2018","0","0","40"
"ps1","788","0","0","4"
"tsx","418","0","0","22"
"md","330","0","0","24"
"sh","242","0","0","4"
"json","200","0","0","4"
"yaml","108","0","0","4"
"txt","96","0","0","12"
"ini","68","0","0","6"
"csv","66","0","0","6"
"coveragerc","50","0","0","4"
"bicep","28","0","0","4"
"flake8","28","4","14.29","8"
"ts","16","0","0","2"
"github/codeowners","4","0","0","4"
"gitignore","2","0","0","2"
